kind,test_start,test_end,param,test_ret,test_y
hyst,2005-01-07,2006-01-06,-0.105,17.235552188362323,1
hyst,2006-01-09,2007-01-09,-0.16,-5.692554267703875,1
hyst,2007-01-10,2008-01-09,-0.16,4.090047656429463,1
hyst,2008-01-10,2009-01-08,-0.16,-16.287958560412175,1
hyst,2009-01-09,2010-01-08,-0.16,37.38329040452872,1
hyst,2010-01-11,2011-01-07,-0.16,40.47797119400636,1
hyst,2011-01-10,2012-01-10,-0.16,1.1145588214641178,1
hyst,2012-01-11,2013-01-11,-0.16,32.67613136148051,1
hyst,2013-01-14,2014-01-13,-0.16,64.45933014354065,1
hyst,2014-01-14,2015-01-13,-0.16,33.92975371307936,1
hyst,2015-01-14,2016-01-13,-0.16,-0.7887101421914733,1
hyst,2016-01-14,2017-01-12,-0.16,34.8778810611454,1
hyst,2017-01-13,2018-01-12,-0.16,75.76032983027893,1
hyst,2018-01-16,2019-01-15,-0.16,-9.112750755984134,1
hyst,2019-01-16,2020-01-15,-0.16,76.38536920087826,1
hyst,2020-01-16,2021-01-14,-0.16,66.38828913785,1
hyst,2021-01-15,2022-01-13,-0.16,41.01823632630743,1
hyst,2022-01-14,2023-01-17,-0.16,-28.780706144216104,1
hyst,2023-01-18,2024-01-18,-0.16,47.290012265977225,1
hyst,2024-01-19,2025-01-21,-0.075,42.161730469309134,1
hyst,2025-01-22,2026-01-27,-0.075,2.109975770954553,1
cd,2005-01-07,2006-01-06,15.0,17.235552188362323,1
cd,2006-01-09,2007-01-09,15.0,-5.583284866880611,1
cd,2007-01-10,2008-01-09,6.0,4.090047656429463,1
cd,2008-01-10,2009-01-08,6.0,-16.287958560412175,1
cd,2009-01-09,2010-01-08,4.0,37.38329040452872,1
cd,2010-01-11,2011-01-07,4.0,40.47797119400636,1
cd,2011-01-10,2012-01-10,4.0,-4.88817701530756,1
cd,2012-01-11,2013-01-11,0.0,32.67613136148051,1
cd,2013-01-14,2014-01-13,0.0,64.45933014354065,1
cd,2014-01-14,2015-01-13,0.0,33.92975371307936,1
cd,2015-01-14,2016-01-13,0.0,-0.7887101421914733,1
cd,2016-01-14,2017-01-12,0.0,34.8778810611454,1
cd,2017-01-13,2018-01-12,0.0,75.76032983027893,1
cd,2018-01-16,2019-01-15,0.0,-9.112750755984134,1
cd,2019-01-16,2020-01-15,0.0,76.38536920087826,1
cd,2020-01-16,2021-01-14,0.0,66.38828913785,1
cd,2021-01-15,2022-01-13,2.0,41.01823632630743,1
cd,2022-01-14,2023-01-17,2.0,-30.928729486811857,1
cd,2023-01-18,2024-01-18,8.0,46.87331821952887,1
cd,2024-01-19,2025-01-21,14.0,42.161730469309134,1
cd,2025-01-22,2026-01-27,14.0,16.708354291777106,1
hyst,2005-01-07,2007-01-09,-0.105,2.0405159351733815,2
hyst,2007-01-10,2009-01-08,-0.16,-12.814975229759861,2
hyst,2009-01-09,2011-01-07,-0.16,91.57830105891074,2
hyst,2011-01-10,2013-01-11,-0.16,34.747030543302174,2
hyst,2013-01-14,2015-01-13,-0.16,128.87475372924348,2
hyst,2015-01-14,2017-01-12,-0.16,39.429585704016226,2
hyst,2017-01-13,2019-01-15,-0.16,58.84807925506161,2
hyst,2019-01-16,2021-01-14,-0.16,199.02077617659074,2
hyst,2021-01-15,2023-01-17,-0.16,1.6983365102192227,2
hyst,2023-01-18,2025-01-21,-0.16,117.52039309699343,2
cd,2005-01-07,2007-01-09,15.0,11.61012667600616,2
cd,2007-01-10,2009-01-08,6.0,-12.814975229759861,2
cd,2009-01-09,2011-01-07,4.0,91.57830105891074,2
cd,2011-01-10,2013-01-11,4.0,26.747679722130833,2
cd,2013-01-14,2015-01-13,0.0,128.87475372924348,2
cd,2015-01-14,2017-01-12,0.0,39.429585704016226,2
cd,2017-01-13,2019-01-15,0.0,58.84807925506161,2
cd,2019-01-16,2021-01-14,0.0,199.02077617659074,2
cd,2021-01-15,2023-01-17,2.0,-1.36895591715962,2
cd,2023-01-18,2025-01-21,8.0,116.90501224808068,2
