위기,A수익,B수익,QLD수익,A_MDD,B_MDD,A전환,B전환
1973-74 대약세,-24.504465258387032,-26.47925003305175,-70.51987197718014,-31.326309673234366,-33.50893883826751,2,12
1978-82 스태그,180.20224366156916,246.39794231894513,327.06302409173895,-43.176260964228,-45.07945981522546,8,24
1983-84 조정,-27.86718182590109,-27.37602258447075,-36.358532181698365,-41.005059413151365,-40.60335723375046,2,6
1987 블랙먼데이,-45.78706842052666,-50.450483082296735,-31.30478756166243,-60.861513426233394,-64.22821924364584,4,14
1990 걸프,-13.800642826728938,-4.919649457992326,10.629659522626532,-34.03450421868327,-38.999944627032725,4,8
1992 톱니,-16.116086562594557,-1.9381440698154395,17.53368477856503,-40.01460793865126,-31.50788454574347,4,10
1998 LTCM,9.792800769966604,19.058160499921684,66.52934999624904,-52.74179448273419,-52.26492243745928,4,6
2000-02 닷컴,2.1472744414668954,-21.830520925959174,-97.29989466230816,-32.26093768379966,-47.74050687292242,1,9
2007-09 GFC,-33.93587415833069,-30.910885200462868,-74.13754058466951,-41.575784941535076,-38.67715736949747,3,5
2020 코로나,-18.277131602691867,-15.407877796162584,-11.747735904177603,-46.622781302848026,-49.03149109610085,2,4
2022 베어,-37.51517079031997,-37.79601065080722,-61.32571301742311,-45.55440759162692,-45.79911487128998,3,7
2025 관세,13.257599519857033,14.232814242080917,30.896232991948413,-37.56732570944995,-41.451133767079206,2,6
