date,rate,source
1991-01-01,17.3,OECD SDMX
1991-02-01,16.9,OECD SDMX
1991-03-01,17.6,OECD SDMX
1991-04-01,18.65,OECD SDMX
1991-05-01,19.01,OECD SDMX
1991-06-01,19.02,OECD SDMX
1991-07-01,18.3,OECD SDMX
1991-08-01,18.54,OECD SDMX
1991-09-01,19.01,OECD SDMX
1991-10-01,18.89,OECD SDMX
1991-11-01,18.01,OECD SDMX
1991-12-01,18.38,OECD SDMX
1992-01-01,17.19,OECD SDMX
1992-02-01,16.42,OECD SDMX
1992-03-01,16.9,OECD SDMX
1992-04-01,17.28,OECD SDMX
1992-05-01,17.54,OECD SDMX
1992-06-01,17.31,OECD SDMX
1992-07-01,16.73,OECD SDMX
1992-08-01,17.16,OECD SDMX
1992-09-01,17.21,OECD SDMX
1992-10-01,14.25,OECD SDMX
1992-11-01,13.77,OECD SDMX
1992-12-01,15.19,OECD SDMX
1993-01-01,13.86,OECD SDMX
1993-02-01,12.51,OECD SDMX
1993-03-01,11.74,OECD SDMX
1993-04-01,11.46,OECD SDMX
1993-05-01,11.53,OECD SDMX
1993-06-01,12.55,OECD SDMX
1993-07-01,13.25,OECD SDMX
1993-08-01,14.87,OECD SDMX
1993-09-01,14.71,OECD SDMX
1993-10-01,13.89,OECD SDMX
1993-11-01,12.9,OECD SDMX
1993-12-01,12.27,OECD SDMX
1994-01-01,11.68,OECD SDMX
1994-02-01,11.6,OECD SDMX
1994-03-01,12.72,OECD SDMX
1994-04-01,12.47,OECD SDMX
1994-05-01,12.38,OECD SDMX
1994-06-01,12.49,OECD SDMX
1994-07-01,12.83,OECD SDMX
1994-08-01,15.0,OECD SDMX
1994-09-01,15.04,OECD SDMX
1994-10-01,14.39,OECD SDMX
1994-11-01,14.0,OECD SDMX
1994-12-01,14.85,OECD SDMX
1995-01-01,15.72,OECD SDMX
1995-02-01,16.65,OECD SDMX
1995-03-01,15.33,OECD SDMX
1995-04-01,14.56,OECD SDMX
1995-05-01,14.87,OECD SDMX
1995-06-01,14.73,OECD SDMX
1995-07-01,14.24,OECD SDMX
1995-08-01,13.45,OECD SDMX
1995-09-01,13.1,OECD SDMX
1995-10-01,12.32,OECD SDMX
1995-11-01,11.95,OECD SDMX
1995-12-01,11.73,OECD SDMX
1996-01-01,11.65,OECD SDMX
1996-02-01,11.67,OECD SDMX
1996-03-01,11.55,OECD SDMX
1996-04-01,10.46,OECD SDMX
1996-05-01,10.87,OECD SDMX
1996-06-01,12.18,OECD SDMX
1996-07-01,12.84,OECD SDMX
1996-08-01,14.79,OECD SDMX
1996-09-01,14.3,OECD SDMX
1996-10-01,14.11,OECD SDMX
1996-11-01,13.66,OECD SDMX
1996-12-01,13.53,OECD SDMX
1997-01-01,12.66,OECD SDMX
