as_of,code,name,close,nav,dev_pct,volume,mktcap_eok,univ_n,univ_med_pct,univ_sd_pct
2026-08-26,458730,TIGER 미국배당다우존스,15405,15381.0,0.156,1839723,43681,1158,-0.0235,0.3802
2026-08-26,305080,TIGER 미국채10년선물,12365,12361.0,0.0324,58044,2176,1158,-0.0235,0.3802
2026-08-26,411060,ACE KRX금현물,29050,28959.0,0.3142,1166110,42965,1158,-0.0235,0.3802
2026-08-26,308620,KODEX 미국채10년선물,11630,11638.0,-0.0687,33158,954,1158,-0.0235,0.3802
2026-08-26,132030,KODEX 골드선물(H),25980,26023.0,-0.1652,174853,3715,1158,-0.0235,0.3802
2026-08-26,453850,ACE 미국30년국채액티브(H),7225,7254.0,-0.3998,746306,15173,1158,-0.0235,0.3802
2026-08-26,148070,KOSEF 국고채10년,104845,104888.0,-0.041,4451,4246,1158,-0.0235,0.3802
2026-08-26,418660,TIGER 미국나스닥100레버리지,39350,39461.0,-0.2813,170324,6296,1158,-0.0235,0.3802
2026-08-26,133690,TIGER 미국나스닥100,178630,178991.0,-0.2017,5277466,113091,1158,-0.0235,0.3802
2026-08-27,458730,TIGER 미국배당다우존스,15340,15294.0,0.3008,633402,43550,1162,-0.0223,0.6332
2026-08-27,305080,TIGER 미국채10년선물,12300,12296.0,0.0325,8915,2177,1162,-0.0223,0.6332
2026-08-27,411060,ACE KRX금현물,28777,28748.0,0.1009,473728,42763,1162,-0.0223,0.6332
2026-08-27,308620,KODEX 미국채10년선물,11570,11566.0,0.0346,7695,949,1162,-0.0223,0.6332
2026-08-27,132030,KODEX 골드선물(H),25945,25956.0,-0.0424,68512,3814,1162,-0.0223,0.6332
2026-08-27,453850,ACE 미국30년국채액티브(H),7235,7249.0,-0.1931,242130,15194,1162,-0.0223,0.6332
2026-08-27,148070,KOSEF 국고채10년,104480,104560.0,-0.0765,8808,4231,1162,-0.0223,0.6332
2026-08-27,418660,TIGER 미국나스닥100레버리지,39750,39181.0,1.4522,140743,6400,1162,-0.0223,0.6332
2026-08-27,133690,TIGER 미국나스닥100,179630,178370.0,0.7064,1004455,114173,1162,-0.0223,0.6332
2026-08-28,458730,TIGER 미국배당다우존스,15175,15124.0,0.3372,2063048,43203,1162,-0.0811,0.431
2026-08-28,305080,TIGER 미국채10년선물,12240,12243.0,-0.0245,32426,2166,1162,-0.0811,0.431
2026-08-28,411060,ACE KRX금현물,28385,28331.0,0.1906,759666,42180,1162,-0.0811,0.431
2026-08-28,308620,KODEX 미국채10년선물,11515,11517.0,-0.0174,18098,944,1162,-0.0811,0.431
2026-08-28,132030,KODEX 골드선물(H),25665,25672.0,-0.0273,62511,3850,1162,-0.0811,0.431
2026-08-28,453850,ACE 미국30년국채액티브(H),7190,7201.0,-0.1528,368249,15171,1162,-0.0811,0.431
2026-08-28,148070,KOSEF 국고채10년,104820,104793.0,0.0258,14109,4216,1162,-0.0811,0.431
2026-08-28,418660,TIGER 미국나스닥100레버리지,39800,40044.0,-0.6093,132760,6567,1162,-0.0811,0.431
2026-08-28,133690,TIGER 미국나스닥100,179775,180325.0,-0.305,1726384,115577,1162,-0.0811,0.431
