k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,0.0,0,151.27197377459746,20.732710809639986,-49.031491096100844,41.582491582491585,48.713235294117645,-21.830520925959362
10,0.0,1,151.27197377459746,20.732710809639986,-49.031491096100844,41.582491582491585,48.713235294117645,-21.830520925959362
10,0.0,2,142.34811130982013,20.457454253151308,-48.29320199380136,44.612794612794616,48.529411764705884,-17.618838080170253
10,0.0,3,154.10170762603607,20.816736062999986,-46.62278130284802,44.19191919191919,48.89705882352941,-12.246817539736021
10,0.0,4,181.80181474811982,21.568769060387826,-46.62278130284805,40.48821548821549,55.60661764705882,-5.3994080558453454
10,0.0,5,168.9195492830715,21.233837632949417,-46.62278130284807,39.81481481481482,55.42279411764706,-5.3994080558453454
10,0.0,6,167.28111567363686,21.189488462245176,-46.62278130284804,44.696969696969695,49.54044117647059,-5.3994080558453454
10,0.0,7,160.72059235614583,21.00761616498472,-46.62278130284804,40.48821548821549,49.26470588235294,-5.3994080558453454
10,0.0,8,159.28889359279316,20.966977554990464,-46.62278130284804,41.83501683501684,55.79044117647059,-5.3994080558453454
10,0.0,9,183.7171619077055,21.616605227958917,-46.62278130284804,45.28619528619529,55.97426470588235,-5.3994080558453454
10,0.0,10,181.60991086098818,21.56394951952667,-46.62278130284804,45.28619528619529,55.60661764705882,-5.3994080558453454
10,0.0,11,173.05117064318807,21.34385999088726,-46.62278130284802,43.09764309764309,55.14705882352941,-5.3994080558453454
10,0.0,12,180.1311082840293,21.5266450905081,-46.62278130284805,43.09764309764309,55.33088235294118,-5.3994080558453454
10,0.0,13,187.7679259009318,21.716212446959894,-46.62278130284804,44.107744107744104,55.69852941176471,-5.3994080558453454
10,0.0,14,175.57875889596977,21.409928218927266,-46.622781302848026,44.86531986531986,55.23897058823529,-5.3994080558453454
10,0.0,15,175.4902660729933,21.40763062635449,-46.62278130284804,40.909090909090914,55.42279411764706,-5.3994080558453454
10,0.0,16,176.01832400553707,21.421324420971686,-46.62278130284805,42.50841750841751,55.42279411764706,-5.3994080558453454
10,0.0,18,160.70006813345213,21.00703605281793,-46.62278130284805,43.26599326599327,55.33088235294118,-5.3994080558453454
10,0.0,20,150.59491763783714,20.712382292906216,-46.62278130284804,43.77104377104377,48.98897058823529,-5.3994080558453454
10,0.0,22,143.40178060312553,20.490806215675338,-46.62278130284804,38.804713804713806,48.161764705882355,-5.3994080558453454
10,0.0,24,129.47772528266597,20.02969983675209,-46.622781302848026,38.38383838383838,43.93382352941176,-5.3994080558453454
10,0.0,26,127.69496231740824,19.967246045624165,-46.62278130284804,37.79461279461279,43.841911764705884,-5.3994080558453454
10,0.0,28,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,0.0,30,106.2346006120499,19.141501237205148,-46.62278130284805,40.15151515151515,43.29044117647059,-15.60843907553875
10,1.0,0,132.8767356998408,20.146514049857856,-49.03149109610083,42.76094276094276,44.76102941176471,-21.830520925959362
10,1.0,1,132.8767356998408,20.146514049857856,-49.03149109610083,42.76094276094276,44.76102941176471,-21.830520925959362
10,1.0,2,140.59399577428113,20.401400309995843,-48.293201993801326,44.612794612794616,48.529411764705884,-17.618838080170253
10,1.0,3,159.4583265855635,20.971805190716665,-46.62278130284802,44.27609427609428,49.17279411764706,-12.246817539736021
10,1.0,4,181.80181474811982,21.568769060387826,-46.62278130284805,40.48821548821549,55.60661764705882,-5.3994080558453454
10,1.0,5,168.9195492830715,21.233837632949417,-46.62278130284807,39.81481481481482,55.42279411764706,-5.3994080558453454
10,1.0,6,167.28111567363686,21.189488462245176,-46.62278130284804,44.696969696969695,49.54044117647059,-5.3994080558453454
10,1.0,7,160.72059235614583,21.00761616498472,-46.62278130284804,40.48821548821549,49.26470588235294,-5.3994080558453454
10,1.0,8,159.28889359279316,20.966977554990464,-46.62278130284804,41.83501683501684,55.79044117647059,-5.3994080558453454
10,1.0,9,183.7171619077055,21.616605227958917,-46.62278130284804,45.28619528619529,55.97426470588235,-5.3994080558453454
10,1.0,10,181.60991086098818,21.56394951952667,-46.62278130284804,45.28619528619529,55.60661764705882,-5.3994080558453454
10,1.0,11,173.05117064318807,21.34385999088726,-46.62278130284802,43.09764309764309,55.14705882352941,-5.3994080558453454
10,1.0,12,180.1311082840293,21.5266450905081,-46.62278130284805,43.09764309764309,55.33088235294118,-5.3994080558453454
10,1.0,13,182.64770059699424,21.58995474003651,-46.62278130284805,41.83501683501684,55.33088235294118,-5.3994080558453454
10,1.0,14,171.79688178955084,21.31072875850839,-46.62278130284804,41.329966329966325,55.14705882352941,-5.3994080558453454
10,1.0,15,170.62990855599125,21.279694178335728,-46.62278130284804,40.74074074074074,55.23897058823529,-5.3994080558453454
10,1.0,16,167.57648916962012,21.197514444261323,-46.62278130284804,43.77104377104377,55.05514705882353,-5.3994080558453454
10,1.0,18,150.96976576357577,20.72364789878396,-46.62278130284805,38.88888888888889,54.6875,-5.3994080558453454
10,1.0,20,141.85758338385338,20.441846358847272,-46.62278130284802,38.804713804713806,48.4375,-5.3994080558453454
10,1.0,22,143.40178060312553,20.490806215675338,-46.62278130284804,38.804713804713806,48.161764705882355,-5.3994080558453454
10,1.0,24,129.47772528266597,20.02969983675209,-46.622781302848026,38.38383838383838,43.93382352941176,-5.3994080558453454
10,1.0,26,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,1.0,28,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,1.0,30,106.2346006120499,19.141501237205148,-46.62278130284805,40.15151515151515,43.29044117647059,-15.60843907553875
10,2.0,0,131.52832274153326,20.100520986288608,-49.03149109610085,43.013468013468014,44.94485294117647,-21.830520925959362
